Plane ID	Display Name	Display company	Display description	Tier	Base buy price	Base sell price	Stall speed (KPH)	Max speed (KPH)	Idle RPM	RPM gfx change	Max RPM	Force at max RPM	Base durability	Base weight (kg)	Cargo max weight (kg)	Crew station 1	Crew station 2	Crew station 3	Gun mount 1	Gun mount 2	Gun mount 3	Gun mount 4	Payload mount 1	Payload mount 2	Payload mount 3	Combat Mod Slots	Performance Mod Slots	Equipment Mod Slots
GI_CARGO3	Mongrel 43	Grimsby Industries	!The Grimsby Industries Mongrel may be as scruffy and unassuming as it's namesake, but its tried and true design makes it a common sight in trade routes. 	3												TRUE	TRUE	TRUE										
BI_SCOUT1	Fantôme LA/1	Brittany Ingénierie	!Brittany Ingénierie's Fantôme scout is aptly named. It's fast and nimble enough to never be where its opponent expects. At the same time it's also likely to be out of sight because of the careful and time consuming fine tuning it requires to maintain its peak performance.	1												FALSE	FALSE	FALSE										
BI_SCOUT2	Fantôme LA/2	Brittany Ingénierie	!Brittany Ingénierie's Fantôme scout is aptly named. It's fast and nimble enough to never be where its opponent expects. At the same time it's also likely to be out of sight because of the careful and time consuming fine tuning it requires to maintain its peak performance.	2												TRUE	FALSE	FALSE										
BI_SCOUT3	Fantôme LA/3	Brittany Ingénierie	!Brittany Ingénierie's Fantôme scout is aptly named. It's fast and nimble enough to never be where its opponent expects. At the same time it's also likely to be out of sight because of the careful and time consuming fine tuning it requires to maintain its peak performance.	3												TRUE	FALSE	FALSE										
BI_FIGHTER1	Brawler Type A	Brittany Ingénierie	!Most pilots wouldn't suspect much of the Brawler, but Brittany Ingénierie prefers it that way. Via some creative engineering, this general purpose fighter is more flexible than most. This does make it more temperamental, but for some the trade-off is worth it.	1												FALSE	FALSE	FALSE										
BI_FIGHTER2	Brawler Type B	Brittany Ingénierie	!Most pilots wouldn't suspect much of the Brawler, but Brittany Ingénierie prefers it that way. Via some creative engineering, this general purpose fighter is more flexible than most. This does make it more temperamental, but for some the trade-off is worth it.	2												TRUE	TRUE	FALSE										
BI_FIGHTER3	Brawler Type C	Brittany Ingénierie	!Most pilots wouldn't suspect much of the Brawler, but Brittany Ingénierie prefers it that way. Via some creative engineering, this general purpose fighter is more flexible than most. This does make it more temperamental, but for some the trade-off is worth it.	3												TRUE	TRUE	FALSE										
BI_HEAVY1	Marteau Let. 1	Brittany Ingénierie	!For a finesse oriented manufacturer, a brute like the Marteau seems out of place for Brittany Ingénierie. But don't be fooled, this assault craft brings both force and style to the skies. Just keep in mind the extra effort required to support that style.	1												TRUE	FALSE	FALSE										
BI_HEAVY2	Marteau Let. 2	Brittany Ingénierie	!For a finesse oriented manufacturer, a brute like the Marteau seems out of place for Brittany Ingénierie. But don't be fooled, this assault craft brings both force and style to the skies. Just keep in mind the extra effort required to support that style.	2												TRUE	TRUE	FALSE										
BI_HEAVY3	Marteau Let. 3	Brittany Ingénierie	!For a finesse oriented manufacturer, a brute like the Marteau seems out of place for Brittany Ingénierie. But don't be fooled, this assault craft brings both force and style to the skies. Just keep in mind the extra effort required to support that style.	3												TRUE	TRUE	TRUE										
BI_CARGO1	Cheval K1 	Brittany Ingénierie	!Brittany Ingénierie may have made a workhorse, but the Cheval carries its burden more like a thoroughbred. The performance on display here has even seen it used for transporting important people as well as their business' cargo. That is, as long as they're willing to accept layovers for maintenance.	1												TRUE	FALSE	FALSE										
BI_CARGO2	Cheval K2 	Brittany Ingénierie	!Brittany Ingénierie may have made a workhorse, but the Cheval carries its burden more like a thoroughbred. The performance on display here has even seen it used for transporting important people as well as their business' cargo. That is, as long as they're willing to accept layovers for maintenance.	2												TRUE	TRUE	FALSE										
BI_CARGO3	Cheval K3	Brittany Ingénierie	!Brittany Ingénierie may have made a workhorse, but the Cheval carries its burden more like a thoroughbred. The performance on display here has even seen it used for transporting important people as well as their business' cargo. That is, as long as they're willing to accept layovers for maintenance.	3												TRUE	TRUE	TRUE										
MH_SCOUT1	Fuchs C.1	Müller Herstellung	!Müller Herstellung's Fuchs is a fine choice for those scout pilots looking to out-pace the hounds. The Fuchs doesn't want to be caught, but if it comes down to it, its teeth are sharp enough to fight back when cornered.	1												FALSE	FALSE	FALSE										
MH_SCOUT2	Fuchs C.2	Müller Herstellung	!Müller Herstellung's Fuchs is a fine choice for those scout pilots looking to out-pace the hounds. The Fuchs doesn't want to be caught, but if it comes down to it, its teeth are sharp enough to fight back when cornered.	2												TRUE	FALSE	FALSE										
MH_SCOUT3	Fuchs C.3	Müller Herstellung	!Müller Herstellung's Fuchs is a fine choice for those scout pilots looking to out-pace the hounds. The Fuchs doesn't want to be caught, but if it comes down to it, its teeth are sharp enough to fight back when cornered.	3												TRUE	FALSE	FALSE										
MH_FIGHTER1	Jäger D.I	Müller Herstellung	!The Jäger truely expemplifies Müller Herstellung's design philosophies. This multi-role fighter craft is a study in balance, a perfect mix of talents and reliablity to suit any role needed.	1												FALSE	FALSE	FALSE										
MH_FIGHTER2	Jäger D.2	Müller Herstellung	!The Jäger truely expemplifies Müller Herstellung's design philosophies. This multi-role fighter craft is a study in balance, a perfect mix of talents and reliablity to suit any role needed.	2												TRUE	TRUE	FALSE										
MH_FIGHTER3	Jäger D.3	Müller Herstellung	!The Jäger truely expemplifies Müller Herstellung's design philosophies. This multi-role fighter craft is a study in balance, a perfect mix of talents and reliablity to suit any role needed.	3												TRUE	TRUE	FALSE										
MH_HEAVY1	Donner G.1	Müller Herstellung	!Müller Herstellung intended the Donner to hit the enemy where it hurts, and hit them hard. To those it's allied with, it doesn't disappoint. To those it's pointed towards, it's a dismaying sight that is taken seriously.	1												TRUE	FALSE	FALSE										
MH_HEAVY2	Donner G.2	Müller Herstellung	!Müller Herstellung intended the Donner to hit the enemy where it hurts, and hit them hard. To those it's allied with, it doesn't disappoint. To those it's pointed towards, it's a dismaying sight that is taken seriously.	2												TRUE	TRUE	FALSE										
MH_HEAVY3	Donner G.3	Müller Herstellung	!Müller Herstellung intended the Donner to hit the enemy where it hurts, and hit them hard. To those it's allied with, it doesn't disappoint. To those it's pointed towards, it's a dismaying sight that is taken seriously.	3												TRUE	TRUE	TRUE										
MH_CARGO1	Maultier HD 31	Müller Herstellung	!Müller Herstellung's Maultier delivers, both its cargo and in its capibilities. Many groups depend on the Maultier not only for delivering supplies, but sometimes delivering more explosive packages due to its balanced nature.	1												TRUE	FALSE	FALSE										
MH_CARGO2	Maultier HD 32	Müller Herstellung	!Müller Herstellung's Maultier delivers, both its cargo and in its capibilities. Many groups depend on the Maultier not only for delivering supplies, but sometimes delivering more explosive packages due to its balanced nature.	2												TRUE	TRUE	FALSE										
MH_CARGO3	Maultier HD 33	Müller Herstellung	!Müller Herstellung's Maultier delivers, both its cargo and in its capibilities. Many groups depend on the Maultier not only for delivering supplies, but sometimes delivering more explosive packages due to its balanced nature.	3												TRUE	TRUE	TRUE										
NPC_BALLOON	Scouting Balloon 	Johnson Supply Co.	These balloons are Johnson Supply Company’s one and only entry into the aviation market. Lightly armed and with no armor to speak of, these simple craft are more like floating watch towers than aircraft. Their main line of defense is either air cover, or ground fire. The last line is firing their rifle as they parachute out before the thing falls to the ground in pieces. 	0				0																				
NPC_SM_AIRSHIP				1																								
NPC_MID_AIRSHIP				2																								
NPC_LG_AIRSHIP			!These leviathans of the skies are rare and awe inspiring, and are as much a show of power as they are functional. Fielding just one requires a large crew and ample resources. They may be large targets but attackers be warned, they are rarely alone and can still defend themselves.	3																								
